Fighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedHeightCms,RedReachCms,RedWeightLbs,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,FinishRound,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds,RedDate
Henry Cejudo,0.6253416149068323,0.6080745341614907,0.08339695775334183,0.23904698070521765,0.4285714285714286,0.10714285714285714,0.30952380952380953,0.0,0.29850728021978024,0.4700976042590949,0.12805494505494505,0.15300052617732177,0.3218571428571429,0.34523809523809523,0.25396825396825395,0.42619047619047623,0.16883116883116883,0.0,0.22857142857142856,0.5102040816326531,0.19642857142857142,0.12244897959183672,0.0,0.38655462184873945,0.3025210084033616,0.4407530454042088,0.10476190476190483,0.05714285714285714,0.2119309262166405,0.0,0.41257349593495934,0.45216666666666666,0.024220238095238093,0.17148666666666668,0.454,0.24041811846689898,0.10204081632653061,0.23906705539358603,0.09821428571428571,0.0,0.3333333333333333,0.31746031746031744,0.10396039603960397,0.0,0.0,0.26184538653366585,0.17391304347826075,0.23045267489711918,0.1333333333333333,0.42857142857142855,0.5474285714285714,0.5663567202028741,0.5523809523809524,0.4985422740524782,0.5959885386819483,0.6263736263736264,0.5630252100840336,0.6483097055616139,0.8712715855572999,0.8766233766233765,0.4761904761904762,0.4804801410934745,0.6537867647058823,0.47096014244624024,0.14285714285714285,0.2884615384615385,0.14666666666666667,,,,,,,,,,,0.0,0.14666666666666667,0.3571428571428571,,,,,,,,,,,0.0,0.41025641025641024,0.25925925925925924,0.3571428571428571,0.42952955830219414,0.08505897771952818,0.2610622910024108,0.46225165562913906,0.2475261324041812,0.1893040293040293,0.5285200411099692,2020-05-09
Henry Martinez,0.6504347826086957,0.6130434782608696,0.05026549582525196,0.1847328493211344,0.0,0.25,0.0,0.0,0.2692307692307693,0.5093167701863354,0.0,0.0,0.0,0.0,0.1111111111111111,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4705882352941173,0.3410852713178296,0.2666666666666667,0.2,0.0,0.0,0.6536585365853659,0.39,0.0,0.0,0.0,0.0,0.07142857142857142,0.04081632653061224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30434782608695654,0.3840877914951988,0.2666666666666667,0.4444444444444444,0.568,0.5207100591715976,0.5,0.5510204081632654,0.5272206303724928,0.6153846153846154,0.5294117647058824,0.599236641221374,0.8681318681318682,0.7272727272727273,0.3666666666666667,0.3135802469135803,0.6176470588235293,0.4793863854266539,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5975855130784707,,0.21556886227544914,,,,,2012-06-08
Herbert Burns,0.6980869565217391,0.5445652173913044,0.08143014478250296,0.13358779744770086,0.0,0.25,0.0,0.0,0.028750000000000005,0.26708074534161486,0.1923076923076923,0.06721915285451197,0.125,0.08333333333333333,0.2222222222222222,0.10833333333333334,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.08823529411764705,0.4117647058823528,0.5736434108527133,0.19999999999999996,0.0,0.09890109890109891,0.0,0.025365853658536587,0.445,0.7678571428571428,0.18359999999999999,0.5,0.07317073170731708,0.0,0.013605442176870748,0.0,0.0,0.0,0.0,0.051980198019801985,0.0423728813559322,0.0,0.05236907730673317,0.3913043478260869,0.5953360768175582,0.19999999999999996,0.5555555555555556,0.49599999999999994,0.5207100591715976,0.5166666666666667,0.6734693877551021,0.5744985673352435,0.6153846153846154,0.5,0.6564885496183206,0.8021978021978022,0.7386363636363636,0.5166666666666667,0.5071358024691358,0.2169117647058823,0.40436241610738255,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.10328638497652583,0.3405963302752294,0.2172019597169298,0.07748344370860927,0.3560975609756098,0.3012820512820513,0.21762589928057555,2020-08-15
Hernani Perpetuo,0.7885217391304348,0.4439130434782609,0.2106336988523419,0.04354131164759355,0.0,0.75,0.0,0.0,0.42307692307692313,0.5614906832298137,0.038461538461538464,0.055248618784530384,0.15,0.16666666666666666,0.3333333333333333,0.21666666666666667,0.0,0.0,0.0,0.14285714285714285,0.125,0.0,0.0,0.11764705882352941,0.7647058823529416,0.7286821705426361,0.3666666666666666,0.2,0.0,0.0,0.2048780487804878,0.22,0.11904761904761904,0.0,0.0,0.0,0.07142857142857142,0.04081632653061224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5217391304347827,0.614540466392318,0.3666666666666666,0.2222222222222222,0.568,0.6272189349112426,0.5666666666666667,0.4285714285714286,0.6131805157593122,0.6153846153846154,0.5882352941176471,0.599236641221374,0.8681318681318682,0.8181818181818181,0.43333333333333335,0.6197530864197531,0.5588235294117646,0.5081495685522531,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5975855130784707,0.22018348623853212,0.13554708764289602,0.3355408388520971,0.2546341463414634,0.3076923076923077,0.15827338129496404,2014-07-26
Holly Holm,0.6758893280632411,0.5688932806324111,0.10098174955132823,0.1486663216229576,0.5454545454545454,0.06818181818181818,0.1818181818181818,0.0,0.22649262820512822,0.6043478260869565,0.11346153846153846,0.11432136279926336,0.3189,0.1893939393939394,0.1919191919191919,0.22272727272727272,0.03305785123966942,0.09090909090909091,0.3272727272727273,0.22077922077922077,0.045454545454545456,0.06493506493506493,0.0,0.19251336898395724,0.37433155080213876,0.4397463002114166,0.1333333333333333,0.16363636363636366,0.07192807192807193,0.0,0.30786019512195123,0.3715454545454545,0.005411255411255411,0.042254545454545454,0.33,0.20620842572062087,0.24025974025974026,0.38713667285095854,0.21022727272727273,0.0,0.2916666666666667,0.2323232323232323,0.15121512151215125,0.0,0.0,0.23804126048515079,0.3478260869565215,0.42249657064471835,0.1696969696969698,0.505050505050505,0.5941818181818181,0.49166218396987627,0.4575757575757576,0.4953617810760668,0.39749934878874704,0.5,0.46524064171123,0.6252602359472588,0.8101898101898103,0.762396694214876,0.44545454545454544,0.4596814814814815,0.6537433155080213,0.5081722304541096,0.125,0.35576923076923084,0.23703703703703702,,,,0.2121212121212121,,,,,,,,,0.7857142857142857,,,,0.4285714285714286,,,,,,,,,,0.675,0.7039570757880615,0.14028356964136782,0.17964071856287428,0.6049769215332129,0.2176319290465632,0.18876456876456876,0.36500981033355134,2024-04-13
Horacio Gutierrez,0.6573913043478261,0.5978260869565217,0.055641365962031744,0.15267178159780823,0.5,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3529411764705883,0.5348837209302331,0.19999999999999996,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43478260869565233,0.42249657064471835,0.19999999999999996,0.4444444444444444,0.568,0.5207100591715976,0.5,0.5510204081632654,0.5272206303724928,0.6153846153846154,0.5294117647058824,0.599236641221374,0.7582417582417583,0.8181818181818181,0.43333333333333335,0.5061728395061729,0.6176470588235293,0.4793863854266539,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5975855130784707,0.17844036697247706,0.16102340772999457,0.3608830022075055,0.16097560975609757,0.13589743589743591,0.38489208633093525,2015-11-21
Hu Yaozong,0.74,0.49673913043478257,0.16259660486802716,0.06127689889230844,0.0,0.375,0.08333333333333333,0.0,0.13621778846153848,0.6149068322981366,0.1923076923076923,0.18738489871086558,0.28,0.041666666666666664,0.16666666666666666,0.06666666666666667,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.029411764705882353,0.6176470588235294,0.7093023255813953,0.5333333333333333,0.30000000000000004,0.0,0.0,0.055365853658536586,0.45999999999999996,0.08333333333333333,0.0,0.0,0.0,0.10714285714285714,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6521739130434785,0.5377229080932779,0.5333333333333333,0.2222222222222222,0.604,0.5473372781065089,0.5166666666666667,0.4285714285714286,0.5315186246418337,0.6153846153846154,0.5588235294117647,0.599236641221374,0.7472527472527473,0.8522727272727272,0.31666666666666665,0.548106913580247,0.6397058823529411,0.576941514860978,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5928906773977196,0.3119266055045872,0.28579205225911813,0.5093818984547461,0.2780487804878049,0.16089743589743588,0.1528776978417266,2021-10-30
Hugo Viana,0.6660869565217391,0.5652173913043478,0.1539412942569317,0.21679391704446058,0.0,0.125,0.08333333333333333,0.0,0.3894230769230769,0.608695652173913,0.28846153846153844,0.1841620626151013,0.55,0.041666666666666664,0.05555555555555555,0.041666666666666664,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.029411764705882353,0.32352941176470607,0.5155038759689923,0.1333333333333333,0.1,0.049450549450549455,0.0,0.4031707317073171,0.40800000000000003,0.0,0.0,0.0,0.14634146341463417,0.10714285714285714,0.1292517006802721,0.0,0.0,0.2916666666666667,0.1111111111111111,0.10396039603960397,0.0,0.0,0.15710723192019949,0.26086956521739113,0.3456790123456792,0.1333333333333333,0.4444444444444444,0.568,0.44082840236686394,0.4166666666666667,0.6122448979591837,0.46704871060171915,0.6153846153846154,0.47058823529411764,0.599236641221374,0.8351648351648352,0.8522727272727272,0.5333333333333333,0.5020987654320987,0.7279411764705881,0.5752636625119847,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5741113346747149,0.19151376146788993,0.292651061513337,0.37030905077262694,0.24292682926829268,0.1603846153846154,0.30305755395683454,2015-08-01
Humberto Bandenay,0.648695652173913,0.6065217391304347,0.049064438645660347,0.17099239172542316,0.0,0.5,0.0,0.0,0.2644230769230769,0.422360248447205,0.0,0.04604051565377532,0.5,0.0,0.2222222222222222,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6470588235294117,0.612403100775194,0.19999999999999996,0.2,0.0,0.0,0.03414634146341464,0.855,0.05952380952380952,0.0,0.0,0.07317073170731708,0.07142857142857142,0.027210884353741496,0.0,0.0,0.0,0.0,0.10396039603960397,0.0,0.0,0.05236907730673317,0.4782608695652173,0.5185185185185186,0.19999999999999996,0.3333333333333333,0.568,0.46745562130177515,0.4666666666666667,0.489795918367347,0.5530085959885386,0.6153846153846154,0.47058823529411764,0.599236641221374,0.8461538461538463,0.8068181818181818,0.3666666666666667,0.6246913580246913,0.5808823529411764,0.5033557046979866,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5975855130784707,0.22431192660550459,0.3086554164398476,0.1717439293598234,0.13951219512195123,0.1282051282051282,0.289568345323741,2018-11-17
Hunter Azure,0.7234782608695652,0.5184782608695652,0.13013910893267938,0.09498663832101868,0.0,0.0,0.25,0.0,0.038509615384615385,0.6335403726708074,0.16346153846153846,0.3218232044198895,0.375,0.16666666666666666,0.16666666666666666,0.15,0.0,0.0,0.0,0.07142857142857142,0.0625,0.2857142857142857,0.0,0.1764705882352941,0.3529411764705883,0.47674418604651203,0.16666666666666663,0.0,0.09890109890109891,0.0,0.038634146341463414,0.515,0.22619047619047616,0.1588,0.335,0.10975609756097562,0.03571428571428571,0.09523809523809523,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.10473815461346633,0.3478260869565215,0.42249657064471835,0.19999999999999996,0.4444444444444444,0.604,0.5473372781065089,0.5333333333333333,0.6122448979591837,0.5444126074498566,0.6153846153846154,0.5588235294117647,0.7137404580152671,0.8021978021978022,0.7840909090909091,0.5,0.5063950617283951,0.5404411764705882,0.5517737296260786,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.3427230046948357,0.11353211009174313,0.1649428415895482,0.3579470198675497,0.10341463414634147,0.22756410256410256,0.41546762589928055,2021-04-10
Hyun Gyu Lim,0.6342028985507246,0.6159420289855072,0.06155213563182605,0.25343513729969047,0.0,0.08333333333333333,0.3333333333333333,0.0,0.22061971153846155,0.2813664596273292,0.010682692307692308,0.10742633517495395,0.266,0.16666666666666666,0.1111111111111111,0.1388888888888889,0.0,0.0,0.0,0.19047619047619047,0.08333333333333333,0.047619047619047616,0.0,0.13725490196078433,0.6274509803921569,0.6899224806201554,0.3666666666666666,0.13333333333333333,0.03296703296703297,0.0,0.5593495934959349,0.465,0.03108333333333333,0.020888,0.261,0.14634146341463417,0.09523809523809523,0.12698412698412698,0.0,0.0,0.0,0.0,0.27722772277227725,0.0,0.0,0.1396508728179551,0.6521739130434785,0.7297668038408776,0.3666666666666666,0.48148148148148145,0.688,0.5207100591715976,0.4888888888888889,0.5714285714285715,0.5186246418338109,0.6153846153846154,0.4117647058823529,0.6183206106870228,0.750915750915751,0.7272727272727273,0.5777777777777778,0.29858255144032925,0.6011715686274509,0.5041546820070311,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.08333333333333331,0.14598703331097695,0.28746177370030584,0.2983124659771367,0.3690728476821192,0.23151219512195123,0.08782051282051283,0.2787769784172662,2016-08-20
