Fighter,FPI
Gustavo Lopez,1.3343923716157478
Hacran Dias,4.341884132931473
Hailey Cowan,0.9755660697152954
Hakeem Dawodu,2.584421192490563
Hannah Cifers,1.3528976922821556
Hatsu Hioki,3.5712613422873303
Hayder Hassan,1.1575913276571408
Hector Lombard,4.472216246920454
Hector Sandoval,2.20747567726506
Hector Urbina,4.141656859778832
Heili Alateng,1.8580668092700279
Henry Briones,3.809338333544589
Henry Cejudo,5.538053588741297
Henry Martinez,2.3586564083025268
Herbert Burns,3.0844594063642905
Hernani Perpetuo,3.0511809421840073
Holly Holm,3.9344297571092404
Hu Yaozong,1.9058595880254985
Hugo Viana,3.7361204403461206
Humberto Bandenay,1.4579452966913065
Hunter Azure,3.4594930178496486
Hyun Gyu Lim,4.50537738353392
Hyunsung Park,2.291780171069412
Ian Entwistle,2.951917870909236
Ian Garry,1.7796935817719541
Ian Heinisch,3.4443560260182418
Ian Machado Garry,3.092199744802735
Ian Mccall,3.978167165608018
Iasmin Lucindo,0.7169156150674443
Ibo Aslan,2.511328542399937
Ignacio Bahamondes,3.079765403278848
Igor Araujo,3.5256432651367575
Igor Pokrajac,3.1139901209793575
Igor Severino,3.1788517016586764
Ike Villanueva,1.9528444126129154
Ikram Aliskerov,3.9758689906010014
Ilia Topuria,5.754411531971064
Iliarde Santos,3.195515503798472
Ilir Latifi,3.776103114293075
Impa Kasanganay,2.184195852896986
Ion Cutelaba,3.227799483611344
Irene Aldana,3.67619969853986
Irina Alekseeva,2.0968278984194186
Irwin Rivera,0.23445962737270032
Isaac Dulgarian,2.0825106039653085
Isaac Vallie-Flagg,3.7476738934611484
Islam Makhachev,5.568702162288114
Ismael Bonfim,3.2850558100926337
Ismail Naurdiev,2.1986176784051628
Israel Adesanya,5.66312172928633
Istela Nunes,0.883019745647393
Iuri Alcantara,4.031381444086879
Ivan Jorge,2.932009101421867
Ivan Menjivar,3.3737695179722285
Ivana Petrovic,1.8349193554263619
Jacare Souza,5.391157253938198
Jack Della Maddalena,3.1717639415948193
Jack Hermansson,4.4499264800569724
Jack Jenkins,2.7092591920575106
Jack Marshman,3.0567506395163457
Jack Shore,3.419089637687056
Jacob Kilburn,0.4041000218094457
Jacob Malkoun,2.530751130773826
Jacob Volkmann,3.751832706784677
Jacqueline Cavalcanti,1.7998121148980257
Jafel Filho,2.9527349091516593
Jai Herbert,1.8875284088580826
Jailton Almeida,5.244840669160533
Jairzinho Rozenstruik,4.286195322763545
Jake Collier,2.333620136800071
Jake Ellenberger,5.278046319183605
Jake Hadley,2.164776328743041
Jake Hecht,2.768645803149658
Jake Matthews,4.0235815714632
Jake Shields,4.258676983215575
Jalin Turner,3.8529675734032085
Jamahal Hill,1.5514680722099194
Jamall Emmers,1.4956422546183097
James Head,2.0830310964304535
James Irvin,2.2692336310857284
James Krause,4.769826493117575
James Llontop,1.5850655070338098
James Moontasri,2.6398857376358347
James Te Huna,3.727502076036687
James Vick,5.032287172933513
James Wilks,3.2542193482697286
Jamey-Lyn Horth,1.9967905066209402
Jamie Moyle,2.784338052167324
Jamie Mullarkey,2.5420633867407014
Jamie Pickett,1.8820246666868101
Jamie Varner,4.536569942771765
Jan Blachowicz,5.294559003734356
Jaqueline Amorim,2.6636682335565713
Jared Cannonier,4.313317243758399
Jared Gooden,0.7449121495734338
Jared Gordon,3.4766287171020545
Jared Hamman,2.7161302944018133
Jared Papazian,2.8781935085244923
Jared Rosholt,3.163733686358655
Jared Vanderaa,1.7311212291090632
Jarno Errens,1.3618001716105625
Jasmine Jasudavicius,2.00378861972413
Jason Brilz,3.5029399701554116
Jason Gonzalez,0.8728646535456797
Jason Knight,4.486377551894752
Jason Macdonald,3.2216833936555456
Jason Miller,3.2723177106279686
Jason Saggo,3.498906849859034
Jason Witt,2.814308445700484
Jason Young,2.4899060083369218
Javid Basharat,3.0105701307328947
Jeff Curran,1.7152804921432196
Jeff Molina,2.1286966236999816
Jeka Saragih,2.792391985275761
Jenel Lausa,2.894450423815181
Jennifer Maia,2.7983793205746563
Jeongyeong Lee,3.2531599256335904
Jeremiah Wells,3.2642349385736042
Jeremy Stephens,4.874178253595221
Jessamyn Duke,4.296474237531192
Jesse Bongfeldt,3.7538753179715734
Jesse Forbes,1.7033995277072957
Jesse Ronson,2.9567590534099404
Jessica Aguilar,3.6329413994374335
Jessica Andrade,5.2381533732763295
Jessica Eye,3.51836656517541
Jessica Penne,2.730120836315258
Jessica Rakoczy,2.60432051417167
Jessica-Rose Clark,2.3610193432885715
Jesus Aguilar,2.512845738167644
Jhonata Diniz,3.6487797903508206
Ji Yeon Kim,2.5160270956833584
Jim Alers,2.17771650584683
Jim Crute,2.7788547923914573
Jim Miller,5.752073107590349
Jimi Manuwa,4.386887376012456
Jimmie Rivera,5.3351230557124065
Jimmy Crute,4.086214616802318
Jimmy Flick,2.9922762461789576
Jimy Hettes,4.246533938881571
Jinh Yu Frey,1.7233707476002056
Jiri Prochazka,3.6494540100572173
Jj Aldrich,2.4408240677002726
Joachim Christensen,3.727529652225563
Joanderson Brito,2.9828615456449428
Joanna Jedrzejczyk,6.837190191340028
Joanne Calderwood,3.3864846638778445
Joanne Wood,3.196697608689419
Joaquim Silva,2.500922651101279
Joaquin Buckley,2.761700163624324
Joby Sanchez,1.7429537720756083
Jocelyn Jones-Lybarger,2.9663418897257743
Joe Doerksen,3.5655269075076443
Joe Duffy,3.2948525832176614
Joe Lauzon,5.069336490335056
Joe Proctor,4.042117983484816
Joe Pyfer,2.7124966161849358
Joe Riggs,3.113640767690754
Joe Solecki,3.339525942789601
Joe Soto,3.262760484200367
Joe Stevenson,4.114971617734834
Joel Alvarez,2.779867212247846
Joey Beltran,3.390942303341274
John Albert,1.5077928218600245
John Alessio,2.3717916244685378
John Castaneda,2.8269447956708813
John Dodson,4.653826618661873
John Hathaway,4.773031462655261
John Howard,4.045920147596896
John Lineker,5.441327399420479
John Makdessi,4.252656280999533
John Moraga,4.36695308422601
John Phillips,0.7484199519921333
Johnny Bedford,4.060091907284887
Johnny Eduardo,3.304731173381546
Johnny Munoz,2.279684313662419
Johnny Walker,3.6904611152451188
Johny Hendricks,6.446738948093408
Jon Fitch,6.732123390019151
Jon Jones,7.4138067640583545
Jon Madsen,2.820393918005658
Jon Tuck,4.351300389133516
Jonathan Brookins,3.172992636564808
Jonathan Martinez,3.0533295588440383
Jonathan Pearce,4.0131251087483015
Jonathan Wilson,2.1652931777324373
Jonavin Webb,1.6702917985882033
Jordan Espinosa,2.16948886126992
Jordan Griffin,2.4550703680334345
Jordan Johnson,3.4659505639449164
Jordan Leavitt,2.8012114528513816
Jordan Mein,4.051263168834862
Jordan Rinaldi,4.030667805326315
Jordan Williams,0.7326397032597479
Jordan Wright,2.1977091694740407
Jorge De Oliveira,0.9103329585494435
Jorge Masvidal,4.942991533503751
Jorge Rivera,3.563645279181803
Jose Aldo,6.960106134721638
Jose Quinonez,2.6108695673267466
Josefine Knutsson,1.8346850213594401
Joselyne Edwards,2.0311382803012505
Joseph Benavidez,5.473849732991273
