Fighter,FPI
Tony Gravely,3.9775886213669294
Toshiomi Kazama,2.5232127440815324
Tracy Cortez,3.1904438688102235
Tresean Gore,2.4242165962885203
Trevin Giles,3.4612878252680948
Trevor Peek,3.2274114168060404
Trey Ogden,1.6498467020340748
Tucker Lutz,3.1150401037980306
Tyson Nam,2.431103109425054
Tyson Pedro,3.252794185090626
Umar Nurmagomedov,3.418770906399331
Uriah Hall,5.891534900315465
Uros Medic,3.925145849987749
Valentina Shevchenko,6.345896383360188
Valter Walker,2.2252839672298026
Vanessa Demopoulos,2.3123527575520013
Veronica Hardy,2.7551849871361216
Viacheslav Borshchev,2.1440303079923893
Vicente Luque,6.018136997158913
Victor Altamirano,2.7802462619742636
Victor Henry,4.429666047290677
Victor Martinez,2.1336132495181817
Viktoriia Dudakova,2.406850654801155
Vince Morales,2.510954696965008
Vinicius Oliveira,2.8842471526931166
Virna Jandiroba,4.262460684901018
Vitor Petrino,3.816360612935848
Viviane Araujo,4.251245469269726
Volkan Oezdemir,5.096819268892151
Waldo Cortes-Acosta,2.4941110421282082
Wang Cong,2.995150486584612
Warlley Alves,5.444037814647665
Wellington Turman,1.947454314303992
Westin Wilson,2.4296083721795316
William Gomis,2.9773306182326293
William Knight,2.704053458762981
Wu Yanan,2.0457529467945785
Xiao Long,2.670676614691913
Yair Rodriguez,6.532973157404013
Yan Xiaonan,6.814793287265324
Yana Santos,2.8806691729090965
Yazmin Jauregui,2.0397940782248263
Yizha,4.023230693398281
Yohan Lainesse,3.249247490795453
Youssef Zalal,2.9086443386629592
Yusaku Kinoshita,2.2074317591245287
Zac Pauga,1.468013726960362
Zachary Reese,3.1882756341179506
Zak Cummings,5.350379439555869
Zarah Fairn,0.6212306520061942
Zhalgas Zhumagulov,1.520919932286682
Zhang Mingyang,2.8953439104661367
Zhang Weili,5.677399582981852
Zubaira Tukhugov,4.156541863692728
Zygimantas Ramaska,3.5166310314522318
